epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,7m13s,0.0100,0.8373,0.6236,1.0460,0.5430,0.5502
1,7m10s,0.0100,0.5311,0.7659,1.0220,0.5632,0.5316
2,7m15s,0.0100,0.4051,0.8304,1.1470,0.5571,0.4680
3,7m9s,0.0100,0.3298,0.8644,1.2560,0.5582,0.5605
4,7m12s,0.0100,0.2700,0.8917,0.9423,0.7232,0.6346
5,7m9s,0.0100,0.2333,0.9071,1.0820,0.6553,0.5969
6,7m11s,0.0100,0.2005,0.9213,1.0380,0.7190,0.6250
7,7m14s,0.0100,0.1743,0.9327,1.1160,0.7087,0.6047
8,7m12s,0.0100,0.1648,0.9361,1.2140,0.6695,0.5633
9,7m14s,0.0100,0.1481,0.9438,1.1210,0.7558,0.6508
10,7m2s,0.0010,0.0551,0.9824,1.0920,0.7741,0.6780
11,7m13s,0.0010,0.0285,0.9921,1.1820,0.7862,0.6879
12,7m13s,0.0010,0.0204,0.9946,1.2350,0.7874,0.6871
13,7m13s,0.0010,0.0161,0.9959,1.2620,0.7855,0.6844
14,7m7s,0.0010,0.0135,0.9968,1.3210,0.7921,0.6887
15,7m11s,0.0010,0.0110,0.9974,1.3380,0.7875,0.6833
16,7m13s,0.0010,0.0095,0.9978,1.3640,0.7899,0.6852
17,7m7s,0.0010,0.0085,0.9982,1.3870,0.7912,0.6877
18,7m18s,0.0010,0.0077,0.9982,1.4170,0.7894,0.6819
19,7m13s,0.0010,0.0070,0.9984,1.4080,0.7896,0.6839
20,7m8s,0.0001,0.0060,0.9989,1.4040,0.7885,0.6852
21,7m3s,0.0001,0.0058,0.9988,1.4160,0.7908,0.6867
22,7m13s,0.0001,0.0055,0.9990,1.4220,0.7923,0.6875
23,7m6s,0.0001,0.0054,0.9990,1.4200,0.7899,0.6859
24,7m4s,0.0001,0.0052,0.9992,1.4180,0.7904,0.6867
25,7m6s,0.0001,0.0052,0.9991,1.4390,0.7928,0.6881
26,7m12s,0.0001,0.0050,0.9991,1.4390,0.7922,0.6850
27,7m12s,0.0001,0.0047,0.9992,1.4510,0.7919,0.6853
28,7m13s,0.0001,0.0047,0.9992,1.4540,0.7935,0.6889
29,7m7s,0.0001,0.0049,0.9992,1.4330,0.7913,0.6874
